a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=18b2fd4618c7
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-02-17T04:13:55.923+0000 W -        [initandlisten] Detected unclean shutdown - /data/db/mongod.lock is not empty.
a433-microservices-item-db-1  | 2023-02-17T04:13:55.925+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1  | 2023-02-17T04:13:55.925+0000 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
a433-microservices-item-db-1  | 2023-02-17T04:13:55.925+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1380M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-02-17T04:13:56.766+0000 I STORAGE  [initandlisten] WiredTiger message [1676607236:766273][1:0x7f6537c84a40], txn-recover: Main recovery loop: starting at 4/4352
a433-microservices-item-db-1  | 2023-02-17T04:13:56.766+0000 I STORAGE  [initandlisten] WiredTiger message [1676607236:766718][1:0x7f6537c84a40], txn-recover: Recovering log 4 through 5
a433-microservices-item-db-1  | 2023-02-17T04:13:56.846+0000 I STORAGE  [initandlisten] WiredTiger message [1676607236:846252][1:0x7f6537c84a40], txn-recover: Recovering log 5 through 5
